firstName|lastName|positionType|destination
Jack|Badovinac|Defense|Illinois
Jafar|Armstrong|Offense|Illinois
Max|Rosenthal|Offense|Illinois
Prather|Hudson|Defense|Illinois
Camron|Buckley|Offense|Indiana
Deland|McCullough II|Defense|Indiana
James|Bomba|Offense|Indiana
Jaren|Handy|Defense|Indiana
Ryder|Anderson|Defense|Indiana
Stephen|Carr|Offense|Indiana
Weston|Kramer|Defense|Indiana
Zach|Carpenter|Offense|Indiana
Xavior|Williams|Defense|Iowa
Andrew|Mevis|Special|Iowa State
Jaquan|Amos|Defense|Iowa State
Colin|Grunhard|Offense|Kansas
Cornell|Wheeler|Defense|Kansas
Eddie|Wilson|Defense|Kansas
Jason|Bean|Offense|Kansas
Jeremy|Webb|Defense|Kansas
Kevin|Orange|Offense|Kansas
Kevin|Terry|Offense|Kansas
Michael|Ford Jr|Defense|Kansas
Mike|Novitsky|Defense|Kansas
Rich|Miller|Defense|Kansas
Ronald|McGee|Defense|Kansas
Trevor|Wilson|Offense|Kansas
Zion|DeBose|Defense|Kansas
Daniel|Imatorbhebhe|Offense|Kansas State
Eric|Munoz|Defense|Kansas State
Gabe|Garber|UNK|Kansas State
Julius|Brents|Defense|Kansas State
Kade|Warner|Offense|Kansas State
Reggie|Stubblefield|Defense|Kansas State
Russ|Yeast|Defense|Kansas State
Timmy|Horne|Defense|Kansas State
Aaron|Hackett|Offense|Kent State
Antwaine|Richardson|Defense|Kent State
Asher|Frow|Defense|Kent State
Damir|Faison|Defense|Kent State
Nico|Bolden|Defense|Kent State
